554.76,17.5,2.744105139,1.243038049
522.12,20,2.717770329,1.301029996
468.96,25,2.671135801,1.397940009
403.4,30,2.605735894,1.477121255
351.4,35,2.545801757,1.544068044
302.76,40,2.481098497,1.602059991
270.12,45,2.431556741,1.653212514
244.32,50,2.38795902,1.698970004
227.92,55,2.357782436,1.740362689
203.12,60,2.307752688,1.77815125
185.68,65,2.268765127,1.812913357
174.72,70,2.242342621,1.84509804
165.56,75,2.218955418,1.875061263
150.36,80,2.177132317,1.903089987
146.24,85,2.165066178,1.929418926
139.04,90,2.143139759,1.954242509
131.92,95,2.120310643,1.977723605
122.4,100,2.087781418,2
